Week,Department,Model,Weekly_Cost,Weekly_Tokens,Avg_Latency,Cache_Hit_Rate,Success_Rate,Dept_Total_Cost,Dept_Total_Tokens,Dept_Avg_Latency,Dept_Cache_Rate,Dept_Success_Rate
2024-12-30/2025-01-05,Customer Support,Claude-3.5-Sonnet,1.291524599999999,191205,3817.785714285714,0.35714285714285715,1.0,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2024-12-30/2025-01-05,Customer Support,GPT-3.5,0.3183019999999999,61143,3446.0,0.38461538461538464,1.0,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2024-12-30/2025-01-05,Customer Support,GPT-4-Turbo,1.6217799999999998,106591,4395.5,0.3333333333333333,0.9444444444444444,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2024-12-30/2025-01-05,Customer Support,Gemini-1.5-Pro,0.4080747999999998,89094,2177.0,0.45454545454545453,0.9696969696969697,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2024-12-30/2025-01-05,Customer Support,Llama-3-8B-Local,0.01039499,69298,3426.875,0.25,0.9375,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2024-12-30/2025-01-05,Data Science,Claude-3.5-Sonnet,2.112864899999999,334511,4280.403225806452,0.46774193548387094,0.9838709677419355,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2024-12-30/2025-01-05,Data Science,GPT-3.5,0.47405999999999987,77948,4454.6,0.26666666666666666,1.0,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2024-12-30/2025-01-05,Data Science,GPT-4-Turbo,0.8506389999999995,82258,2178.551724137931,0.4827586206896552,0.9310344827586207,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2024-12-30/2025-01-05,Data Science,Gemini-1.5-Pro,0.6667930499999999,128892,2424.404761904762,0.30952380952380953,0.9285714285714286,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2024-12-30/2025-01-05,Data Science,Llama-3-8B-Local,0.027147400000000002,242689,5242.742857142857,0.37142857142857144,0.9428571428571428,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2024-12-30/2025-01-05,Engineering,Claude-3.5-Sonnet,2.753412599999998,366492,3169.375,0.29545454545454547,0.9318181818181818,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2024-12-30/2025-01-05,Engineering,GPT-3.5,0.2562679999999998,45609,2964.230769230769,0.5384615384615384,0.9230769230769231,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2024-12-30/2025-01-05,Engineering,GPT-4-Turbo,4.438172999999999,261888,3796.0,0.2982456140350877,0.9298245614035088,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2024-12-30/2025-01-05,Engineering,Gemini-1.5-Pro,1.6702811999999998,352177,4285.969696969697,0.3939393939393939,0.9090909090909091,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2024-12-30/2025-01-05,Engineering,Llama-3-8B-Local,0.021818159999999802,173516,3378.076923076923,0.358974358974359,0.9743589743589743,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2024-12-30/2025-01-05,Finance,Claude-3.5-Sonnet,0.8669669999999996,100697,4218.523809523809,0.23809523809523808,1.0,272.7227736499999,37854521,3793.210407805854,0.357518138603953,0.9583437578183638
2024-12-30/2025-01-05,Finance,GPT-3.5,0.075254,23583,4909.666666666667,0.6666666666666666,1.0,272.7227736499999,37854521,3793.210407805854,0.357518138603953,0.9583437578183638
2024-12-30/2025-01-05,Finance,GPT-4-Turbo,1.0372019999999997,61259,3375.0714285714284,0.5,1.0,272.7227736499999,37854521,3793.210407805854,0.357518138603953,0.9583437578183638
2024-12-30/2025-01-05,Finance,Gemini-1.5-Pro,0.3543721999999999,58352,2204.6315789473683,0.3684210526315789,1.0,272.7227736499999,37854521,3793.210407805854,0.357518138603953,0.9583437578183638
2024-12-30/2025-01-05,Finance,Llama-3-8B-Local,0.00853534,72641,4668.7,0.4,1.0,272.7227736499999,37854521,3793.210407805854,0.357518138603953,0.9583437578183638
2024-12-30/2025-01-05,Marketing,Claude-3.5-Sonnet,0.8970443999999994,134408,4609.32,0.36,0.88,286.6815156399999,38949936,3837.3869309838474,0.34838472834067546,0.9582721488007832
2024-12-30/2025-01-05,Marketing,GPT-3.5,0.07760600000000001,14323,1395.875,0.375,1.0,286.6815156399999,38949936,3837.3869309838474,0.34838472834067546,0.9582721488007832
2024-12-30/2025-01-05,Marketing,GPT-4-Turbo,2.1651339999999997,117559,5360.3,0.1,1.0,286.6815156399999,38949936,3837.3869309838474,0.34838472834067546,0.9582721488007832
2024-12-30/2025-01-05,Marketing,Gemini-1.5-Pro,0.8150576,115518,6722.5,0.2857142857142857,1.0,286.6815156399999,38949936,3837.3869309838474,0.34838472834067546,0.9582721488007832
2024-12-30/2025-01-05,Marketing,Llama-3-8B-Local,0.0083679799999999,80516,3609.777777777778,0.3888888888888889,1.0,286.6815156399999,38949936,3837.3869309838474,0.34838472834067546,0.9582721488007832
2025-01-06/2025-01-12,Customer Support,Claude-3.5-Sonnet,2.725062599999998,337757,3994.714285714286,0.36507936507936506,0.9047619047619048,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2025-01-06/2025-01-12,Customer Support,GPT-3.5,0.4719479999999997,75088,3397.222222222222,0.2777777777777778,0.9444444444444444,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2025-01-06/2025-01-12,Customer Support,GPT-4-Turbo,2.303659999999999,141964,2353.3023255813955,0.2558139534883721,0.9534883720930233,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2025-01-06/2025-01-12,Customer Support,Gemini-1.5-Pro,1.2088069,203128,3946.409090909091,0.25,0.9545454545454546,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2025-01-06/2025-01-12,Customer Support,Llama-3-8B-Local,0.0146881199999999,137241,3131.189189189189,0.3783783783783784,0.972972972972973,555.3203119199998,76504219,3845.011718011718,0.3545643545643546,0.9595539595539595
2025-01-06/2025-01-12,Data Science,Claude-3.5-Sonnet,1.7659682999999982,311570,3427.8513513513512,0.4189189189189189,0.9864864864864865,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2025-01-06/2025-01-12,Data Science,GPT-3.5,0.4105044999999998,69843,2583.3684210526317,0.3684210526315789,0.8421052631578947,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2025-01-06/2025-01-12,Data Science,GPT-4-Turbo,3.896180999999999,237468,2813.95,0.2833333333333333,0.9666666666666667,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2025-01-06/2025-01-12,Data Science,Gemini-1.5-Pro,1.8363988999999996,301845,4873.854166666667,0.2916666666666667,0.9791666666666666,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2025-01-06/2025-01-12,Data Science,Llama-3-8B-Local,0.01618193,139498,3898.5882352941176,0.4117647058823529,0.9705882352941176,696.6750908799997,94877017,3820.599108796876,0.3485205026786161,0.9591949131327292
2025-01-06/2025-01-12,Engineering,Claude-3.5-Sonnet,4.096840199999997,608610,4158.181034482759,0.3793103448275862,0.9568965517241379,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2025-01-06/2025-01-12,Engineering,GPT-3.5,0.5946285,105938,3336.5185185185187,0.37037037037037035,0.9629629629629629,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2025-01-06/2025-01-12,Engineering,GPT-4-Turbo,5.7357109999999984,374878,3625.0526315789475,0.35526315789473684,0.9473684210526315,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2025-01-06/2025-01-12,Engineering,Gemini-1.5-Pro,1.9497533999999999,354356,4114.313432835821,0.3880597014925373,0.9552238805970149,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2025-01-06/2025-01-12,Engineering,Llama-3-8B-Local,0.02518914,208800,2947.096153846154,0.3269230769230769,0.9807692307692307,1372.8269327499995,132084016,3777.360511647849,0.34543375732456766,0.9607689009575532
2025-01-06/2025-01-12,Finance,Claude-3.5-Sonnet,1.1291609999999992,168737,4597.9375,0.3125,0.96875,272.7227736499999,37854521,3793.210407805854,0.357518138603953,0.9583437578183638
